game_date,home_name,away_name,home_score,away_score,home_win
2023-03-30,Washington Nationals,Atlanta Braves,2,7,0
2023-03-30,New York Yankees,San Francisco Giants,5,0,1
2023-03-30,Boston Red Sox,Baltimore Orioles,9,10,0
2023-03-30,Chicago Cubs,Milwaukee Brewers,4,0,1
2023-03-30,Tampa Bay Rays,Detroit Tigers,4,0,1
2023-03-30,Texas Rangers,Philadelphia Phillies,11,7,1
2023-03-30,Cincinnati Reds,Pittsburgh Pirates,4,5,0
2023-03-30,St. Louis Cardinals,Toronto Blue Jays,9,10,0
2023-03-30,Kansas City Royals,Minnesota Twins,0,2,0
2023-03-30,Miami Marlins,New York Mets,3,5,0
2023-03-30,Houston Astros,Chicago White Sox,2,3,0
2023-03-30,San Diego Padres,Colorado Rockies,2,7,0
2023-03-30,Oakland Athletics,Los Angeles Angels,2,1,1
2023-03-30,Los Angeles Dodgers,Arizona Diamondbacks,8,2,1
2023-03-30,Seattle Mariners,Cleveland Guardians,3,0,1
2023-03-31,Miami Marlins,New York Mets,2,1,1
2023-03-31,Houston Astros,Chicago White Sox,6,3,1
2023-03-31,San Diego Padres,Colorado Rockies,1,4,0
2023-03-31,Los Angeles Dodgers,Arizona Diamondbacks,1,2,0
2023-03-31,Seattle Mariners,Cleveland Guardians,4,9,0
2023-04-01,Houston Astros,Chicago White Sox,6,4,1
2023-04-01,St. Louis Cardinals,Toronto Blue Jays,4,1,1
2023-04-01,Chicago Cubs,Milwaukee Brewers,1,3,0
2023-04-01,Texas Rangers,Philadelphia Phillies,16,3,1
2023-04-01,Washington Nationals,Atlanta Braves,1,7,0
2023-04-01,New York Yankees,San Francisco Giants,5,7,0
2023-04-01,Oakland Athletics,Los Angeles Angels,1,13,0
2023-04-01,Boston Red Sox,Baltimore Orioles,9,8,1
2023-04-01,Cincinnati Reds,Pittsburgh Pirates,6,2,1
2023-04-01,Tampa Bay Rays,Detroit Tigers,12,2,1
2023-04-01,Kansas City Royals,Minnesota Twins,0,2,0
2023-04-01,Miami Marlins,New York Mets,2,6,0
2023-04-01,San Diego Padres,Colorado Rockies,8,4,1
2023-04-01,Los Angeles Dodgers,Arizona Diamondbacks,10,1,1
2023-04-01,Seattle Mariners,Cleveland Guardians,0,2,0
2023-04-02,Tampa Bay Rays,Detroit Tigers,5,1,1
2023-04-02,Boston Red Sox,Baltimore Orioles,9,5,1
2023-04-02,Washington Nationals,Atlanta Braves,4,1,1
2023-04-02,New York Yankees,San Francisco Giants,6,0,1
2023-04-02,Cincinnati Reds,Pittsburgh Pirates,3,1,1
2023-04-02,Miami Marlins,New York Mets,1,5,0
2023-04-02,Kansas City Royals,Minnesota Twins,4,7,0
2023-04-02,Houston Astros,Chicago White Sox,3,6,0
2023-04-02,St. Louis Cardinals,Toronto Blue Jays,9,4,1
2023-04-02,Chicago Cubs,Milwaukee Brewers,5,9,0
2023-04-02,Oakland Athletics,Los Angeles Angels,0,6,0
2023-04-02,Los Angeles Dodgers,Arizona Diamondbacks,1,2,0
2023-04-02,San Diego Padres,Colorado Rockies,3,1,1
2023-04-02,Seattle Mariners,Cleveland Guardians,5,6,0
